lot,last bid,title,url
43571633,$250.00,2015 JEEP GRAND CHEROKEE LIMITED,https://www.copart.com/lot/43571633/clean-title-2015-jeep-grand-cherokee-limited-fl-orlando-south
47703853,$90.00,2020 HONDA HR-V LX,https://www.copart.com/lot/47703853/salvage-2020-honda-hr-v-lx-fl-orlando-south
48298093,"$5,300.00",2021 KIA SPORTAGE LX,https://www.copart.com/lot/48298093/salvage-2021-kia-sportage-lx-fl-orlando-south
50443653,$900.00,2011 BMW 528 I,https://www.copart.com/lot/50443653/clean-title-2011-bmw-528-i-fl-orlando-south
50850453,$90.00,2015 MERCEDES-BENZ C 300 4MATIC,https://www.copart.com/lot/50850453/clean-title-2015-mercedes-benz-c-300-4matic-fl-orlando-south
51873933,$90.00,2016 MERCEDES-BENZ CLA 250,https://www.copart.com/lot/51873933/clean-title-2016-mercedes-benz-cla-250-fl-orlando-south
52350872,$250.00,2022 MERCEDES-BENZ GLE 350 4MATIC,https://www.copart.com/lot/52350872/2022-mercedes-benz-gle-350-4matic-fl-orlando-south
54223373,$275.00,2019 MERCEDES-BENZ SPRINTER 2500/3500,https://www.copart.com/lot/54223373/clean-title-2019-mercedes-benz-sprinter-25003500-fl-orlando-south
55893963,$250.00,2016 HYUNDAI SONATA SPORT,https://www.copart.com/lot/55893963/salvage-2016-hyundai-sonata-sport-fl-orlando-south
58001323,$90.00,2016 MERCEDES-BENZ C 300,https://www.copart.com/lot/58001323/clean-title-2016-mercedes-benz-c-300-fl-orlando-south
62066123,"$2,100.00",2015 TOYOTA RAV4 LE,https://www.copart.com/lot/62066123/clean-title-2015-toyota-rav4-le-fl-orlando-south
62952833,$400.00,2021 LEXUS RX 350 BASE,https://www.copart.com/lot/62952833/clean-title-2021-lexus-rx-350-base-fl-orlando-south
63166863,"$4,800.00",2016 FORD F150 SUPERCREW,https://www.copart.com/lot/63166863/clean-title-2016-ford-f150-supercrew-fl-orlando-south
64052183,"$3,100.00",2016 LEXUS RX 350,https://www.copart.com/lot/64052183/clean-title-2016-lexus-rx-350-fl-orlando-south
65222633,$250.00,2023 TOYOTA SIENNA XLE,https://www.copart.com/lot/65222633/clean-title-2023-toyota-sienna-xle-fl-orlando-south
66851413,"$1,400.00",2011 MERCEDES-BENZ ML 350,https://www.copart.com/lot/66851413/clean-title-2011-mercedes-benz-ml-350-fl-orlando-south
67264163,$90.00,2004 FORD F150 SUPERCREW,https://www.copart.com/lot/67264163/clean-title-2004-ford-f150-supercrew-fl-orlando-south
67480673,"$1,200.00",2018 MERCEDES-BENZ E 300 4MATIC,https://www.copart.com/lot/67480673/clean-title-2018-mercedes-benz-e-300-4matic-fl-orlando-south
67927583,"$3,300.00",2018 PORSCHE MACAN,https://www.copart.com/lot/67927583/clean-title-2018-porsche-macan-fl-orlando-south
68236223,"$1,300.00",2016 CHEVROLET IMPALA LTZ,https://www.copart.com/lot/68236223/clean-title-2016-chevrolet-impala-ltz-fl-orlando-south
